date,Americas,China,EU,Korea,Taiwan
2019-07-27,129508.30555555556,203069.30555555556,175463.68055555556,263570.93055555556,284131.47222222225
2019-07-28,130587.45833333333,204157.65277777778,176686.08333333334,262347.2361111111,285846.0416666667
2019-07-29,132878.41666666666,206024.22222222222,176662.41666666666,262650.40277777775,290981.7638888889
2019-07-30,132984.88888888888,207236.95833333334,176678.36111111112,266759.9583333333,287820.77777777775
2019-07-31,132758.75,205191.40277777778,174129.76388888888,262114.45833333334,286562.19444444444
2019-08-01,131902.34722222222,203797.91666666666,173369.36111111112,260408.33333333334,285604.34722222225
2019-08-02,132154.25,205391.72222222222,173428.31944444444,250368.29166666666,285351.18055555556
2019-08-03,130332.06944444444,205857.5,173278.54166666666,249913.06944444444,286585.1111111111
2019-08-04,130392.76388888889,205495.84722222222,173275.98611111112,252785.20833333334,284321.22222222225
2019-08-05,132950.26388888888,207176.54166666666,174044.08333333334,255502.05555555556,284569.2361111111
2019-08-06,132664.41666666666,208096.01388888888,175555.56944444444,250973.73611111112,286416.5833333333
2019-08-07,133673.05555555556,209971.69444444444,176704.08333333334,254181.36111111112,281822.5833333333
2019-08-08,134967.56944444444,214897.83333333334,179725.33333333334,253113.27777777778,284219.1388888889
2019-08-09,136388.09722222222,230568.26388888888,177904.55555555556,261914.33333333334,288171.69444444444
2019-08-10,134990.63888888888,231079.93055555556,178373.59722222222,254078.93055555556,285959.375
2019-08-11,136220.06944444444,232091.79166666666,180514.23611111112,255342.31944444444,285536.55555555556
2019-08-12,141590.91666666666,239138.15277777778,183735.40277777778,259666.34722222222,288489.7083333333
2019-08-13,143746.38888888888,253388.19444444444,191314.45833333334,271777.68055555556,288354.2083333333
2019-08-14,142009.52777777778,250240.11111111112,184789.29166666666,266973.84722222225,285568.18055555556
2019-08-15,141125.31944444444,245562.76388888888,184937.95833333334,266909.4861111111,288582.97222222225
2019-08-16,140991.48611111112,244073.77777777778,184871.95833333334,264247.8888888889,286403.5138888889
2019-08-17,138865.93055555556,246471.13888888888,185174.97222222222,261216.52777777778,282774.15277777775
2019-08-18,138739.81944444444,246496.02777777778,187208.5,267057.80555555556,283913.34722222225
2019-08-19,141909.56944444444,248371.06944444444,188798.91666666666,272746.375,285013.90277777775
2019-08-20,143300.27777777778,250741.27777777778,192384.125,270925.15277777775,289075.8888888889
2019-08-21,143685.625,257066.94444444444,191824.08333333334,276350.44444444444,283745.5
2019-08-22,144376.65277777778,259569.29166666666,193075.66666666666,269342.2916666667,285695.6388888889
2019-08-23,144893.81944444444,268788.69444444444,193152.80555555556,269893.7361111111,287399.7361111111
2019-08-24,145429.31944444444,270464.05555555556,195265.02777777778,274329.1666666667,285571.05555555556
2019-08-25,146019.625,280625.59722222225,200710.05555555556,283565.7361111111,291938.8333333333
2019-08-26,160695.08333333334,301575.72222222225,219433.40277777778,299721.7638888889,296335.0416666667
2019-08-27,163291.27777777778,294198.0,233592.625,324821.6111111111,310703.68055555556
2019-08-28,163329.20833333334,287823.93055555556,214718.45833333334,312217.4166666667,308702.3611111111
2019-08-29,161325.73611111112,282876.7083333333,217761.69444444444,317487.9583333333,320487.1666666667
2019-08-30,160348.26388888888,284754.4861111111,208906.93055555556,329504.7638888889,312425.6111111111
2019-08-31,158541.19444444444,284345.06944444444,210899.02777777778,326516.81944444444,305677.6111111111
2019-09-01,158576.94444444444,284233.0416666667,211852.38888888888,299803.3333333333,307492.8611111111
2019-09-02,159901.76388888888,284662.55555555556,210683.23611111112,311298.27777777775,315654.43055555556
2019-09-03,160810.47222222222,285899.8333333333,212790.80555555556,324459.0138888889,308205.5833333333
2019-09-04,162679.51388888888,286801.8611111111,213398.0447761194,322787.2361111111,310374.4166666667
2019-09-05,164072.25,284671.4583333333,214655.16666666666,320689.625,307180.97222222225
2019-09-06,162895.45833333334,285287.15277777775,213381.125,321266.3333333333,304161.0138888889
2019-09-07,160836.75,285770.8888888889,214317.5,328098.69444444444,293874.55555555556
2019-09-08,162308.5633802817,286050.8888888889,213099.86111111112,325236.6666666667,294646.7361111111
2019-09-09,165080.20833333334,288733.0416666667,216624.41666666666,316488.55555555556,294137.1666666667
2019-09-10,168087.15277777778,288286.7638888889,218286.36111111112,314143.27777777775,292187.9166666667
2019-09-11,168977.60606060605,293110.43055555556,219331.63636363635,317537.5882352941,309546.0
2019-09-12,168499.93055555556,289171.97222222225,223164.31944444444,312773.1111111111,292256.2361111111
2019-09-13,167119.24242424243,288042.8888888889,221640.15151515152,312247.8787878788,294110.19402985077
2019-09-14,166719.43055555556,286612.5,220962.23611111112,311731.43055555556,301797.7916666667
2019-09-15,168415.43055555556,286987.0833333333,222075.11111111112,317645.2638888889,299049.02777777775
2019-09-16,171660.23611111112,290133.8888888889,225621.72222222222,317124.18055555556,303348.80555555556
2019-09-17,173033.47222222222,289545.77777777775,229108.15277777778,315663.7361111111,301804.59722222225
2019-09-18,171963.68055555556,290493.9718309859,232707.43055555556,322727.59722222225,300215.94444444444
2019-09-19,174341.44444444444,291429.2638888889,236817.66666666666,311301.1111111111,301389.19444444444
2019-09-20,175405.20833333334,291755.8888888889,236169.38888888888,316136.375,312690.875
2019-09-21,173625.70833333334,293895.84722222225,233177.20833333334,312431.22222222225,308299.44444444444
2019-09-22,173845.625,293227.55555555556,233726.625,311234.125,307540.7083333333
2019-09-23,178929.29166666666,295909.56944444444,236845.81944444444,319378.8611111111,312807.22222222225
2019-09-24,177834.6911764706,298301.09722222225,240988.98611111112,323739.77777777775,317045.1388888889
2019-09-25,177977.61971830987,307067.6666666667,239828.63768115942,327222.85507246375,311628.64285714284
2019-09-26,177122.26388888888,306939.55555555556,235608.80555555556,329814.06944444444,317581.9583333333
2019-09-27,171550.64285714287,289582.44444444444,227562.35714285713,308990.8461538461,323908.0714285714
2019-09-28,173363.44444444444,299435.52777777775,227583.09722222222,325553.1666666667,309091.25
2019-09-29,173516.0,299051.5138888889,226660.22222222222,320964.43055555556,316714.125
